"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","99","2 - Não deve permitir cadastro sem token","","2026-07-03","passed","2026-07-03","","CT-API-001 - Cadastro de Produtos","",""
"","107","4 - Os dados do produto localizado devem corresponder ao cadastro","","2026-07-03","passed","2026-07-03","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","1012","3 - Deve informar senha incorreta","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","300","CT-API-005 - Deve atualizar apenas o e-mail de um usuário existente mantendo o mesmo _id","","2026-07-03","failed","2026-07-03","","Atualizar usuário com PATCH","",""
"","93","3 - O ID retornado deve ser o mesmo informado na requisição","","2026-07-03","passed","2026-07-03","","CT-API-002 - Buscar Produto por ID","",""
"","235","CT-API-001.1 - Cadastro com e-mail duplicado","","2026-07-03","failed","2026-07-03","","Cadastro de usuário","",""
"","103","CT-API-011 - Deve retornar 400 quando o usuário não existir","","2026-07-03","passed","2026-07-03","","Buscar usuário inexistente","",""
"","274","CT-API-005 - Deve atualizar um usuário existente mantendo o mesmo _id","","2026-07-03","passed","2026-07-03","","Atualizar usuário","",""
"","1459","2 - Não deve permitir email já cadastrado","","2026-07-03","passed","2026-07-03","","CT-UI-001 - Cadastro de usuário","",""
"","84","1 - Deve confirmar que o produto foi removido com sucesso","","2026-07-03","passed","2026-07-03","","CT-API-007 - Validar Exclusão do Produto","",""
"","195","CT-API-010 - Deve criar usuário e rejeitar segundo cadastro com e-mail duplicado","","2026-07-03","passed","2026-07-03","","CT-API-010 - Cadastro de Usuário com E-mail Duplicado","",""
"","98","4 - Não deve permitir preço negativo","","2026-07-03","passed","2026-07-03","","CT-API-001 - Cadastro de Produtos","",""
"","99","CT-API-003 - Deve informar que o ID precisa ter 16 caracteres alfanuméricos","","2026-07-03","passed","2026-07-03","","Validação de formato do ID","",""
"","96","3 - Nenhum valor antigo deve permanecer após a atualização","","2026-07-03","passed","2026-07-03","","CT-API-005 - Validar Atualização do Produto","",""
"","195","3 - Não deve permitir cadastrar produto com nome duplicado","","2026-07-03","passed","2026-07-03","","CT-API-001 - Cadastro de Produtos","",""
"","263","CT-API-007 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-03","passed","2026-07-03","","Excluir Usuário (DELETE)","",""
"","112","CT-API-001 - Deve criar um novo usuário","","2026-07-03","passed","2026-07-03","","Cadastro de usuário com e-mail dinâmico","",""
"","170","2 - O produto não deve mais existir após a exclusão","","2026-07-03","passed","2026-07-03","","CT-API-006 - Excluir Produto","",""
"","85","1 - Deve excluir um produto com sucesso","","2026-07-03","passed","2026-07-03","","CT-API-006 - Excluir Produto","",""
"","99","5 - Deve permitir cadastrar produto sem estoque","","2026-07-03","passed","2026-07-03","","CT-API-001 - Cadastro de Produtos","",""
"","104","2 - Deve localizar o produto pelo nome","","2026-07-03","passed","2026-07-03","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","188","CT-API-003 - Deve criar e buscar um usuário pelo ID","","2026-07-03","passed","2026-07-03","","CRUD Usuário - Buscar por ID","",""
"","101","2 - Deve manter o mesmo ID após a atualização","","2026-07-03","passed","2026-07-03","","CT-API-005 - Validar Atualização do Produto","",""
"","95","2 - Deve retornar todos os campos do produto","","2026-07-03","passed","2026-07-03","","CT-API-002 - Buscar Produto por ID","",""
"","187","CT-API-005 - Deve retornar 405 Method Not Allowed ao tentar atualizar um usuário com PATCH","","2026-07-03","passed","2026-07-03","","Atualizar usuário com PATCH","",""
"","89","1 - Deve buscar um produto pelo ID com sucesso","","2026-07-03","passed","2026-07-03","","CT-API-002 - Buscar Produto por ID","",""
"","91","1 - Deve cadastrar um produto com sucesso","","2026-07-03","passed","2026-07-03","","CT-API-001 - Cadastro de Produtos","",""
"","5227","1 - Deve criar um novo usuário com sucesso","","2026-07-03","passed","2026-07-03","","CT-UI-001 - Cadastro de usuário","",""
"","1126","4 - Deve validar senha obrigatória","","2026-07-03","passed","2026-07-03","","CT-UI-001 - Cadastro de usuário","",""
"","98","2 - O ID excluído não deve retornar nenhum registro válido","","2026-07-03","passed","2026-07-03","","CT-API-007 - Validar Exclusão do Produto","",""
"","191","CT-API-002 - Deve realizar login com sucesso","","2026-07-03","failed","2026-07-03","","Login de usuário","",""
"","196","CT-API-006 - Deve retornar os dados atualizados do usuário","","2026-07-03","failed","2026-07-03","","Validar alteração do usuário","",""
"","1451","1 - Deve realizar login com sucesso","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","225","CT-API-004 - Deve listar o usuário recém-cadastrado","","2026-07-03","passed","2026-07-03","","Listar usuários","",""
"","105","CT-API-003 - Deve retornar mensagem de validação para ID inválido","","2026-07-03","passed","2026-07-03","","Buscar usuário com ID inválido","",""
"","98","3 - Deve localizar um produto com _id válido","","2026-07-03","passed","2026-07-03","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","1138","3 - Deve validar email inválido","","2026-07-03","passed","2026-07-03","","CT-UI-001 - Cadastro de usuário","",""
"","98","Deve rejeitar login - E-mail inválido","","2026-07-03","passed","2026-07-03","","CT-API-009 - Login inválido","",""
"","765","4 - Deve validar email inválido","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","508","5 - Deve validar email obrigatório","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","90","1 - Deve listar todos os produtos","","2026-07-03","passed","2026-07-03","","CT-API-003 - Listar Produtos e Localizar um Produto","",""
"","762","6 - Deve validar senha obrigatória","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","1034","2 - Deve informar que o usuário não foi encontrado","","2026-07-03","passed","2026-07-03","","CT-UI-002 - Login de usuário","",""
"","102","Deve rejeitar login - Senha inválida","","2026-07-03","passed","2026-07-03","","CT-API-009 - Login inválido","",""
"","258","CT-API-008 - Deve excluir um usuário e validar que ele não existe mais","","2026-07-03","passed","2026-07-03","","Excluir Usuário (DELETE)","",""
"","226","CT-API-001.2 - Cadastro com campos vazios","","2026-07-03","failed","2026-07-03","","Cadastro de usuário","",""
"","82","1 - Deve consultar o produto atualizado","","2026-07-03","passed","2026-07-03","","CT-API-005 - Validar Atualização do Produto","",""
"","5797","CT-FE-001 - Deve criar um novo usuário com sucesso","","2026-07-03","passed","2026-07-03","","Cadastro de usuário","",""
"","210","CT-API-005 - Deve atualizar os dados do usuário","","2026-07-03","failed","2026-07-03","","Atualizar usuário existente","",""
